Type Of House,Price,Number of rooms,Street,City,State,Zip
Apartment for rent,895,1,4108 Siebert St,Pittsburgh,PA,15201
House for rent,1500,2,Huron St,Pittsburgh,PA,15203
Townhouse for rent,1295,3,153 38th St,Pittsburgh,PA,15201
House for rent,1700,2,Steuben St,Pittsburgh,PA,15205
Apartment for rent,995,2,1 Whitworth St # 1,Pittsburgh,PA,15211
Apartment for rent,850,1,1906 E Carson St APT 3,Pittsburgh,PA,15203
House for rent,1199,2,615 Mclain St,Pittsburgh,PA,15210
House for rent,1300,3,411 Maline St,Pittsburgh,PA,15214
Apartment for rent,1950,3,7209 Penn Ave # 1,Pittsburgh,PA,15208
Apartment for rent,1850,1,707 College Ave APT 1,Pittsburgh,PA,15232
Apartment for rent,1000,1,2318 Jane Street # First Floor,Pittsburgh,PA,15203
Apartment for rent,950,1,680 Florida Ave APT 3,Pittsburgh,PA,15228
Townhouse for rent,1125,2,113 S Fairmount St # 1,Pittsburgh,PA,15206
Apartment for rent,1450,2,141 S 12th St # 1,Pittsburgh,PA,15203
Apartment for rent,2300,3,1708 Sidney St # 2,Pittsburgh,PA,15203
House for rent,1900,3,5437 Carnegie St,Pittsburgh,PA,15201
Apartment for rent,1400,2,3271 Kennett Sq,Pittsburgh,PA,15213
Apartment for rent,999,1,708 E Warrington Ave # 1,Pittsburgh,PA,15210
Condo for rent,900,2,311 Clarence St # HOUSE,Pittsburgh,PA,15211
House for rent,2500,4,4053 Liberty Ave,Pittsburgh,PA,15224
Apartment for rent,1200,2,1300 Liverpool St # 1,Pittsburgh,PA,15233
Apartment for rent,1950,3,416 Oakland Ave APT 6,Pittsburgh,PA,15213
Apartment for rent,1300,2,231 Ulysses St # 1,Pittsburgh,PA,15211
House for rent,850,4,2749 Merwyn Ave,Pittsburgh,PA,15204
Townhouse for rent,795,2,1305 Lettie Hill St # B,Pittsburgh,PA,15216
Apartment for rent,900,1,126 Cologne St APT 1,Pittsburgh,PA,15210
Townhouse for rent,1699,4,4024 Mintwood St,Pittsburgh,PA,15224
Apartment for rent,1025,2,147 Plymouth St,Pittsburgh,PA,15211
Apartment for rent,1200,3,147 Morrison Dr,Mt. Lebanon,PA,15216
House for rent,1250,3,3915 Nantasket St,Pittsburgh,PA,15207
House for rent,1100,2,4603 Monongahela St,Pittsburgh,PA,15207
House for rent,2100,3,3705 Dawson St,Pittsburgh,PA,15213
Apartment for rent,1200,2,614 S Millvale Ave # 2,Pittsburgh,PA,15224
Apartment for rent,975,1,203 Lehigh Ave # 2,Shadyside,PA,15232
Apartment for rent,700,1,218 Shiloh St FL 2ND,Pittsburgh,PA,15211
Apartment for rent,800,2,2517 Durham Ave # 2,Pittsburgh,PA,15216
Apartment for rent,1295,3,105 W Sycamore St,Pittsburgh,PA,15211
Townhouse for rent,950,3,1309 Mississippi Ave,Pittsburgh,PA,15216
Apartment for rent,1200,2,1404 Tolma Ave,Pittsburgh,PA,15216
Apartment for rent,875,2,254 S Mathilda St # 5,Pittsburgh,PA,15224
Apartment for rent,885,2,256 S Mathilda St # 6,Pittsburgh,PA,15224
