Type Of House,Price,Street,City,State,Zip
Foreclosure,34900,2341 Saw Mill Run Blvd,Pittsburgh,PA,15210
Apartment for sale,529900,6637 Wilkins Ave,Pittsburgh,PA,15217
For sale by owner,127000,6525 Llewellyn Pl,Pittsburgh,PA,15206
House for sale,199900,1625 Brookline Blvd,Pittsburgh,PA,15226
House for sale,184900,420 Augusta St,Pittsburgh,PA,15211
House for sale,639900,237 45th St,Pittsburgh,PA,15201
House for sale,447900,6212 Saint Marie St,Pittsburgh,PA,15206
House for sale,99900,103 Jacksonia St,Pittsburgh,PA,15212
House for sale,925000,1577 Biltmore Ln,Pittsburgh,PA,15217
House for sale,134900,146 Gray St,Mt Washington,PA,15211
Apartment for sale,220000,5462 Broad St,East Liberty,PA,15206
